model_name,num_model_params,accuracy,validation_accuracy,loss,val_loss
DenseNet121,7037504,0.34001604,0.33412135,1.249492772503098,1.3052226901054382
DenseNet169,12642880,0.3846154,0.34042552,1.1731579227325244,1.2191372722387315
DenseNet201,18321984,0.3653846,0.36643025,1.2075179708309662,1.1315393596887589
InceptionResNetV2,54336736,0.3680834,0.34121355,1.129501841215487,1.2849690899252892
InceptionV3,21802784,0.39022437,0.3427896,1.17374849319458,1.2451715648174286
MobileNet,3228864,0.40064102,0.34121355,1.2219708088116767,1.266168048977852
MobileNetV2,2257984,0.39294305,0.3246651,1.1588048645278026,1.419430211186409
NASNetLarge,84916818,0.38141027,0.3420016,1.1922013041300652,1.214789292216301
NASNetMobile,4269716,0.3533654,0.34121355,1.178837082324884,1.2210352569818497
ResNet101,42658176,0.34935898,0.33333334,1.3188396157362523,1.453389012813568
ResNet101V2,42626560,0.3669872,0.37037036,1.1771938861944737,1.714531797170639
ResNet152,58370944,0.4198718,0.31048068,1.1609689394632976,1.4688470929861068
ResNet152V2,58331648,0.38251805,0.34751773,1.1660054892468854,1.5502558648586273
ResNet50,23587712,0.40945512,0.30654058,1.199111547225561,1.5621461480855943
ResNet50V2,23564800,0.37900642,0.33490938,1.1630024237510486,2.279155287146568
VGG16,14714688,0.3341346,0.3175729,369471776191.44116,1.1035437285900116
VGG19,20024384,0.33012822,0.34042552,1.1359966840499487,1.0992505878210068
Xception,20861480,0.3838141,0.36958236,1.1133652925491333,1.1186050012707711
ResNet50V2,23564800,0.40865386,0.32885376,1.1223538930599506,1.9755913674831391
VGG16,14714688,0.34001604,0.36758894,1.1021890309493638,1.0959926754236222
VGG19,20024384,0.34134614,0.36284584,1.1098103431554942,1.0913695842027664
Xception,20861480,0.38060898,0.33122528,1.1113356321285932,1.2236080288887023
ResNet50V2,23564800,0.37820512,0.35177866,1.165902859125382,1.4641478091478348
VGG16,14714688,0.3488372,0.33043477,1.13277906700431,1.0997807919979095
ResNet50V2,23564800,0.35817307,0.35177866,1.1740454649313903,1.5104712545871735
ResNet50V2,23564800,0.4458701,0.35652173,1.0710407723019193,1.523278757929802
VGG16,14714688,0.35926223,0.36205533,1.0968852029768295,1.0889908373355865
VGG19,20024384,0.35576925,0.33438733,1.0988901517330072,1.1065845042467117
Xception,20861480,0.44471154,0.343083,1.0460465794954545,1.3493341892957686
DenseNet121,7037504,0.4383013,0.3438735,1.0950438945721357,1.310273277759552
DenseNet169,12642880,0.44951925,0.3549407,1.0651768705783746,1.2405190199613572
DenseNet201,18321984,0.45709702,0.3652174,1.0506053218960092,1.2514664202928543
InceptionResNetV2,54336736,0.4158654,0.3833992,1.0765821215433953,1.3709734320640563
InceptionV3,21802784,0.4070513,0.32252964,1.1234183464294825,1.2117599904537202
MobileNet,3228864,0.46714744,0.34466404,1.0772553254396489,1.6075523287057876
MobileNetV2,2257984,0.45753205,0.36284584,1.055628403639182,1.263489779829979
